label,task,result,cost,score,time,configCount,revisitCount,acceptCount,bestCount,saRunCount,searchAlg,tool,pca,thresh,seed,mode,improve
FN,jayhorn-recursive/SatHanoi01,UNSAFE,-1,-1,64.9513635635376,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,5,base-classification,false
FN,jayhorn-recursive/SatHanoi01,UNSAFE,-1,-1,65.0675668716431,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,2,base-classification,false
TN,jayhorn-recursive/SatMccarthy91,SAFE,-1,-1,3.017421245574950,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,3,base-classification,false
TN,jayhorn-recursive/SatMccarthy91,SAFE,-1,-1,3.0265209674835200,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,1,base-classification,false
TN,jayhorn-recursive/SatMccarthy91,SAFE,-1,-1,3.3918261528015100,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,5,base-classification,false
TN,jayhorn-recursive/SatMccarthy91,SAFE,-1,-1,3.7495815753936800,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,2,base-classification,false
TN,jayhorn-recursive/SatMccarthy91,SAFE,-1,-1,3.8975205421447800,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,4,base-classification,false
TN,jayhorn-recursive/SatMccarthy91,SAFE,-1,-1,5.788184404373170,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,4,base-classification,false
TN,jayhorn-recursive/SatMccarthy91,SAFE,-1,-1,5.961688995361330,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,3,base-classification,false
TN,jayhorn-recursive/SatMccarthy91,SAFE,-1,-1,6.088436603546140,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,1,base-classification,false
TN,jayhorn-recursive/SatMccarthy91,SAFE,-1,-1,6.389164209365850,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,5,base-classification,false
TN,jayhorn-recursive/SatMccarthy91,SAFE,-1,-1,6.670861482620240,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,2,base-classification,false
UNK,jayhorn-recursive/SatMultCommutative01,UNKNOWN,-1,-1,10.198030948638900,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,4,base-classification,false
UNK,jayhorn-recursive/SatMultCommutative01,UNKNOWN,-1,-1,10.481115818023700,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,3,base-classification,false
UNK,jayhorn-recursive/SatMultCommutative01,UNKNOWN,-1,-1,8.598366022109990,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,2,base-classification,false
UNK,jayhorn-recursive/SatMultCommutative01,UNKNOWN,-1,-1,9.818932056427000,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,5,base-classification,false
UNK,jayhorn-recursive/SatMultCommutative01,UNKNOWN,-1,-1,9.87146520614624,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,1,base-classification,false
UNK,jayhorn-recursive/SatMultCommutative01,UNKNOWN,-1,-1,71.2553472518921,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,2,base-classification,false
UNK,jayhorn-recursive/SatMultCommutative01,UNKNOWN,-1,-1,71.6239171028137,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,5,base-classification,false
UNK,jayhorn-recursive/SatMultCommutative01,UNKNOWN,-1,-1,69.8203639984131,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,3,base-classification,false
UNK,jayhorn-recursive/SatMultCommutative01,UNKNOWN,-1,-1,71.0565900802612,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,1,base-classification,false
UNK,jayhorn-recursive/SatMultCommutative01,UNKNOWN,-1,-1,71.1346027851104,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,4,base-classification,false
TN,jayhorn-recursive/SatPrimes01,SAFE,-1,-1,3.9417402744293200,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,4,base-classification,false
TN,jayhorn-recursive/SatPrimes01,SAFE,-1,-1,4.0521674156189000,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,2,base-classification,false
TN,jayhorn-recursive/SatPrimes01,SAFE,-1,-1,4.103485584259030,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,1,base-classification,false
TN,jayhorn-recursive/SatPrimes01,SAFE,-1,-1,4.174527168273930,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,5,base-classification,false
TN,jayhorn-recursive/SatPrimes01,SAFE,-1,-1,4.23534369468689,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,3,base-classification,false
TN,jayhorn-recursive/SatPrimes01,SAFE,-1,-1,6.507748126983640,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,4,base-classification,false
TN,jayhorn-recursive/SatPrimes01,SAFE,-1,-1,6.618744373321530,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,5,base-classification,false
TN,jayhorn-recursive/SatPrimes01,SAFE,-1,-1,6.692288875579830,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,3,base-classification,false
TN,jayhorn-recursive/SatPrimes01,SAFE,-1,-1,6.772675037384030,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,1,base-classification,false
TN,jayhorn-recursive/SatPrimes01,SAFE,-1,-1,6.773041248321530,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,2,base-classification,false
TP,jayhorn-recursive/UnsatAckermann01,UNSAFE,-1,-1,3.1417343616485600,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,3,base-classification,false
TP,jayhorn-recursive/UnsatAckermann01,UNSAFE,-1,-1,3.1419854164123500,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,4,base-classification,false
TP,jayhorn-recursive/UnsatAckermann01,UNSAFE,-1,-1,3.18380069732666,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,2,base-classification,false
TP,jayhorn-recursive/UnsatAckermann01,UNSAFE,-1,-1,3.1855835914611800,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,5,base-classification,false
TP,jayhorn-recursive/UnsatAckermann01,UNSAFE,-1,-1,3.3908462524414100,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,1,base-classification,false
TP,jayhorn-recursive/UnsatAckermann01,UNSAFE,-1,-1,6.165923595428470,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,2,base-classification,false
TP,jayhorn-recursive/UnsatAckermann01,UNSAFE,-1,-1,6.2645580768585200,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,3,base-classification,false
