TN,TP,FN,FP,prog,complete,score,falseRate,--drop-unused-functions,--full-slice,--no-assumptions,--no-built-in-assertions,--no-pretty-names,--no-self-loops-to-assumptions,--nondet-static,--partial-loops,--refine,--refine-strings,--slice-formula,--depth,--unwind,--max-nondet-tree-depth,--min-null-tree-depth,--paths,--mm,arrays-uf,reachability-slice,round,solver
94,228,13,45,1000,380,-720.0,15.2631578947,1,0,1,0,1,1,1,0,1,0,0,5000,20,100,10,0,pso,0,--reachability-slice,--round-to-nearest,0
0,110,0,52,1000,162,-722.0,32.0987654321,1,1,0,1,1,0,0,1,0,1,1,5000,10,5000,5,fifo,tso,0,--reachability-slice,--round-to-minus-inf,--mathsat
0,131,0,54,1000,185,-733.0,29.1891891892,1,1,1,0,0,1,0,1,1,1,0,2000,1,1000,10,0,tso,--arrays-uf-never,0,--round-to-plus-inf,--mathsat
103,121,20,27,1000,271,-745.0,17.3431734317,1,0,0,1,1,0,0,0,1,0,1,0,10,2000,100,fifo,pso,--arrays-uf-never,--reachability-slice-fb,--round-to-plus-inf,--mathsat
0,182,0,58,1000,240,-746.0,24.1666666667,0,0,0,0,1,0,1,1,0,1,0,100,20,2000,100,fifo,tso,0,0,--round-to-zero,--cvc4
0,160,0,58,1000,218,-768.0,26.6055045872,0,0,0,0,0,1,1,1,1,0,0,1000,1,2000,100,fifo,pso,0,--reachability-slice-fb,--round-to-minus-inf,--cvc4
0,112,0,55,1000,167,-768.0,32.9341317365,1,1,1,0,1,0,0,1,0,1,0,2000,20,2000,20,lifo,pso,0,--reachability-slice,--round-to-zero,--boolector
0,124,0,56,1000,180,-772.0,31.1111111111,0,1,1,1,0,0,0,1,0,1,1,0,1,5000,0,lifo,sc,0,0,--round-to-nearest,--yices
0,219,0,62,1000,281,-773.0,22.0640569395,1,0,1,0,0,0,0,1,0,1,1,0,5,0,0,lifo,pso,--arrays-uf-always,--reachability-slice-fb,--round-to-minus-inf,--z3
0,243,0,64,1000,307,-781.0,20.8469055375,1,0,1,1,0,1,0,1,1,1,0,1000,5,0,0,0,sc,--arrays-uf-never,--reachability-slice-fb,--round-to-nearest,--yices
0,114,0,56,1000,170,-782.0,32.9411764706,1,1,0,0,0,1,0,1,0,1,0,1000,10,1000,5,fifo,pso,--arrays-uf-never,--reachability-slice-fb,--round-to-nearest,--cprover-smt2
17,174,5,52,1000,248,-784.0,22.9838709677,0,0,0,0,1,0,1,0,0,1,1,1000,5,5000,0,lifo,sc,--arrays-uf-always,0,--round-to-zero,--cprover-smt2
94,211,28,18,1000,351,-785.0,13.1054131054,0,0,0,0,1,1,0,0,1,0,0,1000,10,100,20,0,pso,0,0,--round-to-zero,--yices
0,221,0,63,1000,284,-787.0,22.1830985915,0,0,1,0,1,1,0,1,0,1,1,1000,1,2000,0,fifo,tso,--arrays-uf-always,--reachability-slice-fb,--round-to-zero,--yices
0,125,0,57,1000,182,-787.0,31.3186813187,1,1,1,1,1,0,0,1,0,1,1,1000,10,5000,0,0,tso,--arrays-uf-always,--reachability-slice,--round-to-plus-inf,--cvc4
0,116,0,57,1000,173,-796.0,32.9479768786,1,1,0,0,0,1,0,1,1,1,0,0,20,1000,5,fifo,sc,--arrays-uf-always,--reachability-slice,--round-to-plus-inf,--cvc4
90,366,12,60,1000,528,-798.0,13.6363636364,0,1,0,0,1,1,1,0,0,0,0,2000,100,100,100,fifo,pso,0,--reachability-slice-fb,--round-to-zero,--z3
96,146,17,38,1000,297,-814.0,18.5185185185,1,0,0,1,0,1,1,0,1,0,1,2000,100,0,5,fifo,pso,0,--reachability-slice-fb,--round-to-nearest,--cprover-smt2
0,133,0,61,1000,194,-843.0,31.4432989691,1,1,1,0,1,1,0,1,0,1,1,2000,1,2000,5,fifo,pso,0,--reachability-slice-fb,--round-to-nearest,--boolector
90,168,13,49,1000,320,-852.0,19.375,0,0,0,1,1,1,1,0,0,1,1,5000,5,100,5,lifo,sc,--arrays-uf-never,--reachability-slice-fb,--round-to-plus-inf,--mathsat
0,130,0,62,1000,192,-862.0,32.2916666667,0,1,1,1,0,1,0,1,1,1,1,5000,1,100,20,lifo,tso,--arrays-uf-never,--reachability-slice-fb,--round-to-plus-inf,--cvc4
84,163,12,51,1000,310,-869.0,20.3225806452,1,0,0,0,1,1,1,0,0,0,1,2000,20,5000,10,lifo,pso,--arrays-uf-always,--reachability-slice,--round-to-plus-inf,0
0,130,0,63,1000,193,-878.0,32.6424870466,0,1,1,0,0,0,0,1,0,0,0,1000,1,100,20,lifo,pso,--arrays-uf-always,--reachability-slice-fb,--round-to-zero,0
168,152,39,8,1000,367,-888.0,12.8065395095,0,0,0,1,0,1,0,0,0,1,1,2000,20,1000,0,lifo,tso,0,--reachability-slice-fb,--round-to-nearest,0
108,367,18,56,1000,549,-889.0,13.4790528233,1,0,1,1,0,1,0,0,0,1,1,0,5,0,0,0,pso,0,--reachability-slice,--round-to-plus-inf,--mathsat
0,316,0,76,1000,392,-900.0,19.387755102,1,0,1,1,1,1,1,1,0,1,1,1000,5,1000,0,fifo,tso,--arrays-uf-never,--reachability-slice,--round-to-plus-inf,0
