TN,TP,FN,FP,prog,complete,score,falseRate,numIfs,numVars,numFuncs,numCalls,numLoops,numArrayTypes,numCompositeTypes,numFundamentalTypes,numLines,SSASwitchInstruction,SSAArrayLengthInstruction,SSAArrayLoadInstruction,SSAPutInstruction,SSAComparisonInstruction,SSAConditionalBranchInstruction,SSANewInstruction,SSAReturnInstruction,SSAGetInstruction,SSAGotoInstruction,SSALoadMetadataInstruction,SSAInstanceofInstruction,SSAArrayStoreInstruction,SSACheckCastInstruction,SSAGetCaughtExceptionInstruction,SSABinaryOpInstruction,SSAPhiInstruction,SSAUnaryOpInstruction,SSAConversionInstruction,SSAPiInstruction,SSAMonitorInstruction,SSAInvokeInstruction,SSAThrowInstruction
0,102,0,0,256,102,102.0,0.0,0,19,4,2,0,0,1,18,27,0,0,0,1,0,3,2,4,4,2,1,0,0,0,0,1,1,0,0,0,0,8,1
0,24,0,0,256,24,24.0,0.0,2,13,2,4,0,0,1,12,16,1,0,0,0,2,1,0,0,0,5,1,0,0,1,0,3,0,1,0,0,0,1,1
0,0,0,0,256,0,0.0,NA,2,7,2,1,0,0,1,6,15,1,1,0,0,2,2,0,0,0,2,1,0,0,1,0,3,0,1,0,0,0,1,1
218,0,0,0,256,218,436.0,0.0,2,7,2,1,0,0,1,6,14,1,1,0,0,2,1,0,0,0,2,1,0,0,1,0,3,0,1,0,0,0,1,1
218,0,0,0,256,218,436.0,0.0,2,7,2,1,0,0,1,6,14,1,1,0,0,2,1,0,0,0,2,1,0,0,1,0,3,0,1,0,0,0,1,1
11,0,0,65,256,76,-1018.0,85.5263157895,4,19,2,4,0,1,4,14,30,1,2,0,0,2,2,0,2,2,5,5,0,0,1,0,5,0,1,0,0,0,2,1
9,0,0,65,256,74,-1022.0,87.8378378378,4,19,2,4,0,1,4,14,30,1,2,0,0,2,2,0,2,2,5,5,0,0,1,0,5,0,1,0,0,0,2,1
218,0,0,0,256,218,436.0,0.0,2,7,2,1,0,0,1,6,14,1,1,0,0,2,1,0,0,0,2,1,0,0,1,0,3,0,1,0,0,0,1,1
0,0,0,0,256,0,0.0,NA,2,8,2,2,0,0,2,6,16,1,1,0,0,2,1,0,0,0,3,2,0,0,1,0,3,0,1,0,0,0,1,1
162,0,0,13,256,175,116.0,7.42857142857,4,17,3,5,0,0,3,14,27,2,0,0,3,0,4,2,0,1,1,6,0,0,0,0,0,0,0,6,1,1,0,1
0,89,0,0,256,89,89.0,0.0,1,9,3,3,0,0,2,7,25,2,0,0,4,0,3,3,0,2,1,6,0,0,0,0,0,2,0,3,1,1,0,0
0,91,0,0,256,91,91.0,0.0,2,14,3,3,0,0,2,12,33,4,0,0,5,0,3,4,0,2,1,7,0,0,0,0,0,2,0,6,1,1,0,0
0,99,0,0,256,99,99.0,0.0,1,9,2,3,0,0,2,7,16,1,0,0,0,2,1,0,0,0,4,2,0,1,2,0,2,0,1,0,0,0,1,1
0,99,0,0,256,99,99.0,0.0,1,9,2,3,0,0,2,7,16,1,0,0,0,2,1,0,0,0,4,2,0,1,2,0,2,0,1,0,0,0,1,1
165,0,0,17,256,182,58.0,9.34065934066,3,18,2,5,0,0,5,13,29,1,0,0,0,2,3,0,0,0,6,5,0,3,4,0,4,0,1,0,0,0,3,1
165,0,0,21,256,186,-6.0,11.2903225806,1,13,4,4,0,0,2,11,19,4,1,0,5,2,0,0,2,1,1,0,1,0,0,1,0,0,0,0,1,0,2,0
0,99,0,0,256,99,99.0,0.0,1,12,2,3,0,0,2,10,18,1,0,0,0,2,1,0,0,0,4,2,1,1,2,0,2,0,1,0,0,0,2,1
165,0,0,21,256,186,-6.0,11.2903225806,2,11,3,3,0,0,2,9,23,2,0,0,3,0,2,3,0,3,1,5,0,0,0,0,0,2,0,3,1,1,0,0
0,66,0,0,256,66,66.0,0.0,2,9,2,3,0,0,1,8,15,1,0,0,0,2,1,0,0,0,4,1,0,0,1,0,3,0,1,0,0,0,1,1
0,0,0,0,256,0,0.0,NA,5,52,2,18,0,2,3,47,47,0,6,2,0,1,0,1,2,1,0,0,1,0,5,0,0,2,19,1,0,0,1,6
0,0,0,66,256,66,-1056.0,100.0,3,24,2,9,0,0,1,23,26,0,1,1,0,0,0,3,0,4,1,0,0,0,0,2,1,0,0,0,0,1,3,10
0,0,0,66,256,66,-1056.0,100.0,18,50,2,19,0,0,9,41,71,0,0,0,0,1,0,0,0,19,0,9,0,2,0,1,9,20,0,1,0,1,0,9
0,66,0,0,256,66,66.0,0.0,3,16,2,6,0,0,1,15,20,1,0,0,0,3,1,0,0,0,7,1,0,0,1,0,4,0,1,0,0,0,1,1
0,66,0,0,256,66,66.0,0.0,3,14,2,5,0,0,1,13,19,3,1,0,6,4,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0
0,0,0,0,256,0,0.0,NA,18,94,2,27,0,1,9,84,88,28,0,1,1,8,2,9,0,1,9,0,0,10,0,0,0,19,1,0,0,0,0,0
